GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
word-scraper,default,WordManager,90,51,8,2,25,15,10,11,6,10
word-scraper,default,UrlCleaner,134,0,4,0,30,0,7,0,5,0
word-scraper,default,WordFetcher,13,45,0,2,3,11,0,5,0,4
word-scraper,default,Driver,161,0,8,0,38,0,6,0,2,0
word-scraper,default,FileManager,148,38,8,0,33,10,14,3,10,3
word-scraper,Word,Word,19,0,0,0,8,0,4,0,4,0
word-scraper,Word,InclusionWord,3,0,0,0,2,0,1,0,1,0
word-scraper,Word,ExclusionWord,3,0,0,0,2,0,1,0,1,0
word-scraper,Word,ScrapedWord,3,0,0,0,2,0,1,0,1,0
word-scraper,Word,WordManager2,43,0,4,0,11,0,8,0,6,0
